-601,197,-848
-626,566,-878
-403,1022,-906
-195,1237,-906
15,1337,-891
230,1396,-886
368,1391,-873
538,1352,-881
777,1218,-898
922,1002,-943
1043,891,-946
1113,850,-911
1261,573,-856
1203,355,-848
1093,141,-898
897,-76,-898
650,-200,-985
456,-311,-963
310,-298,-980
187,-216,-1035
82,-2,-1062
-47,192,-1075
-215,522,-1032
-247,821,-987
-255,1012,-931
-205,1043,-961
-197,925,-1000
-282,888,-977
-245,1000,-961
7,1133,-946
257,1126,-987
486,1002,-1012
827,806,-982
968,680,-951
1041,563,-918
1153,502,-906
1188,308,-868
1206,243,-851
1133,265,-876
1128,97,-841
1031,-90,-856
737,-275,-893
331,-403,-933
120,-345,-975
-87,-143,-1020
-187,90,-1022
-192,311,-1047
-170,391,-1052
-155,120,-1015
300,-128,-1020
601,-71,-1010
810,323,-1052
732,580,-1050
496,852,-1045
277,893,-1025
220,1012,-1010
95,1113,-958
12,1017,-987
-70,937,-997
-125,932,-982
-155,835,-1032
-130,738,-1052
-152,736,-1040
-42,747,-1042
170,731,-1055
212,837,-1067
341,862,-1047
302,953,-1067
190,1002,-1040
20,883,-1060
-82,813,-1067
-107,945,-985
-152,883,-1000
-182,813,-990
-265,656,-1017
-317,607,-992
-338,595,-1022
-333,901,-975
-321,893,-946
-305,927,-928
-307,922,-916
-312,922,-936
-310,927,-936
-317,915,-961
-312,910,-956
-338,893,-985
-317,925,-948
-315,910,-951
-326,903,-961
-315,920,-938
-315,922,-948
-328,912,-946
-317,915,-970
-321,917,-975
-326,896,-963
-315,930,-936
-321,922,-936
-321,927,-936
-317,917,-931
