-832,-415,-556
-900,-352,-523
-945,-213,-541
-1036,-85,-465
-1133,187,-442
-1166,376,-390
-1126,577,-452
-1068,685,-533
-981,755,-613
-850,886,-690
-742,1005,-735
-638,1131,-725
-553,1226,-740
-506,1223,-767
-531,1192,-782
-466,1126,-858
-356,1051,-943
-220,990,-1007
-87,912,-1047
2,852,-1082
150,651,-1095
242,512,-1136
290,445,-1136
277,406,-1171
368,415,-1161
328,187,-1143
265,43,-1128
212,-58,-1080
190,-151,-1057
142,-185,-1055
167,-143,-1090
240,-151,-1082
371,-167,-1082
428,-128,-1080
428,2,-1092
396,115,-1131
295,206,-1125
132,321,-1128
60,471,-1122
-32,522,-1117
-127,708,-1100
-137,855,-1057
-215,878,-1047
-421,966,-918
-568,1010,-828
-737,1015,-702
-897,953,-628
-1043,837,-511
-1126,577,-503
-1141,381,-498
-1141,272,-465
-1188,148,-360
-1148,0,-345
-1113,-71,-385
-1088,-107,-367
-1096,-128,-362
-1073,-175,-420
-978,-185,-543
-890,-187,-616
-757,-231,-680
-548,-255,-813
-393,-206,-886
-297,-56,-1012
-252,78,-1050
-232,352,-1092
-333,612,-1060
-270,736,-1047
-195,915,-1027
-185,1041,-995
-317,1097,-918
-652,1116,-735
-785,1015,-690
-960,801,-618
-1101,561,-501
-1098,257,-503
-1116,53,-385
-1176,-87,-258
-1188,-153,-171
-1233,-17,-171
-1251,262,-261
-1118,566,-455
-993,783,-598
-810,920,-712
-642,997,-795
-336,1038,-921
-112,1020,-990
190,783,-1105
341,697,-1120
312,571,-1151
376,427,-1163
343,143,-1133
220,-223,-1017
162,-471,-938
152,-577,-851
180,-703,-760
120,-762,-712
50,-747,-710
80,-850,-670
35,-847,-660
52,-818,-677
20,-808,-631
-32,-832,-601
-297,-888,-460
-805,-695,-228
-1218,-247,-10
-1340,192,-5
-1357,371,-65
-1347,546,-82
-1320,687,-92
-1295,893,-47
-1241,1002,-50
-1233,971,-90
-1223,956,-110
-1208,1002,-168
-1223,942,-171
-1171,907,-273
-1158,860,-263
-1166,873,-281
-1138,907,-271
-1136,907,-276
-1161,871,-298
-1151,873,-291
-1168,842,-330
-1166,881,-313
-1156,912,-316
-1151,922,-313
-1128,925,-293
-1143,922,-301
-1126,922,-318
-1131,925,-337
-1113,945,-380
-1108,961,-360
